0 10 0
1 7 3
2 2 8
3 2 8
4 2 8
5 2 8
6 2 8
7 1 9
8 1 9
9 1 9
0 10 0
1 9 1
2 8 2
3 7 3
4 6 4
5 5 5
6 4 6
7 3 7
8 2 8
9 1 9
0 10 0
1 9 1
2 5 5
3 5 5
4 5 5
5 4 6
6 4 6
7 3 7
8 2 8
9 1 9
0 10 0
1 9 1
2 4 6
3 4 6
4 3 7
5 3 7
6 3 7
7 2 8
8 1 9
9 1 9
0 10 0
1 8 2
2 7 3
3 4 6
4 3 7
5 3 7
6 3 7
7 2 8
8 1 9
9 1 9
0 10 0
1 8 2
2 7 3
3 6 4
4 5 5
5 4 6
6 2 8
7 2 8
8 1 9
9 1 9
0 10 0
1 5 5
2 3 7
3 3 7
4 3 7
5 2 8
6 2 8
7 1 9
8 1 9
9 1 9
0 10 0
1 5 5
2 4 6
3 2 8
4 2 8
5 2 8
6 1 9
7 1 9
8 1 9
9 1 9
0 10 0
1 9 1
2 8 2
3 3 7
4 3 7
5 3 7
6 3 7
7 3 7
8 2 8
9 1 9
0 10 0
1 5 5
2 5 5
3 2 8
4 1 9
5 1 9
6 1 9
7 1 9
8 1 9
9 1 9
